"crisno","crisname","statea","namea","stateb","nameb","startdate","enddate","endyear_kdg","rivnumb","peace","cyber"
437,"MYANMAR-THAILAND",775,"MYA",800,"THI",2002-05-16,2002-10-15,NA,NA,0,FALSE
438,"PARSLEY ISLAND",230,"SPN",600,"MOR",2002-07-11,2002-07-21,NA,NA,0.25,FALSE
442,"IRAN NUCLEAR I",220,"FRN",630,"IRN",2003-06-13,2004-11-15,NA,NA,NA,FALSE
442,"IRAN NUCLEAR I",260,"GFR",630,"IRN",2003-06-13,2004-11-15,NA,NA,NA,FALSE
442,"IRAN NUCLEAR I",200,"UKG",630,"IRN",2003-06-13,2004-11-15,NA,NA,NA,FALSE
447,"CHAD-SUDAN I",483,"CHA",625,"SUD",2005-12-18,2006-02-08,NA,NA,0,FALSE
448,"IRAN NUCLEAR II",220,"FRN",630,"IRN",2006-01-10,2007-12-04,NA,NA,NA,FALSE
448,"IRAN NUCLEAR II",200,"UKG",630,"IRN",2006-01-10,2007-12-04,NA,NA,NA,FALSE
449,"CHAD-SUDAN II",483,"CHA",625,"SUD",2006-04-12,2006-08-08,NA,NA,0,FALSE
452,"ETHIOPIA INVASION SOMALIA",520,"SOM",530,"ETH",2006-10-09,2007-01-02,NA,NA,0,FALSE
453,"CHAD-SUDAN III",483,"CHA",625,"SUD",2007-03-31,2007-04-17,NA,NA,0,FALSE
455,"CHAD-SUDAN IV",483,"CHA",625,"SUD",2007-12-26,2008-08-01,NA,NA,0,FALSE
456,"DJIBOUTI-ERITREA",522,"DJI",531,"ERI",2008-04-07,2008-06-30,NA,NA,0.25,FALSE
457,"PREAH VIHEAR TEMPLE I",800,"THI",811,"CAM",2008-07-08,2009-08-24,NA,NA,0.25,FALSE
460,"CHAD-SUDAN V",483,"CHA",625,"SUD",2009-05-05,2010-02-09,NA,NA,0,FALSE
463,"PREAH VIHEAR TEMPLE II",800,"THI",811,"CAM",2011-02-04,2011-12-21,NA,NA,0.25,FALSE
464,"LIBYAN CIVILWAR",2,"USA",620,"LIB",2011-02-22,2011-10-20,NA,NA,0.3125,FALSE
464,"LIBYAN CIVILWAR",200,"UKG",620,"LIB",2011-02-22,2011-10-20,NA,NA,NA,FALSE
464,"LIBYAN CIVILWAR",220,"FRN",620,"LIB",2011-02-22,2011-10-20,NA,NA,0.3076923077,FALSE
464,"LIBYAN CIVILWAR",20,"CAN",620,"LIB",2011-02-22,2011-10-20,NA,NA,NA,FALSE
464,"LIBYAN CIVILWAR",325,"ITA",620,"LIB",2011-02-22,2011-10-20,NA,NA,NA,FALSE
464,"LIBYAN CIVILWAR",620,"LIB",694,"QAT",2011-02-22,2011-10-20,NA,NA,NA,FALSE
465,"COTE D'IVOIRE PRESIDENTIAL CRISIS",220,"FRN",437,"CDI",2011-04-03,2011-04-11,NA,NA,NA,FALSE
466,"SUDAN-SOUTH SUDAN",625,"SUD",626,"SSD",2011-05-19,2012-09-27,NA,NA,0,FALSE
470,"SYRIA CHEMICAL WEAPONS",2,"USA",652,"SYR",2013-08-21,2013-09-21,NA,NA,0,FALSE
474,"HOUTHI REBELLION",630,"IRN",696,"UAE",2015-01-22,2020-02-09,NA,NA,0.5,FALSE
486,"SYRIA CHEMICAL WEAPONS II",2,"USA",652,"SYR",2017-04-04,2017-04-24,NA,NA,0,FALSE
489,"SYRIA CHEMICAL WEAPONS III",2,"USA",652,"SYR",2018-04-07,2018-04-14,NA,NA,0,FALSE
489,"SYRIA CHEMICAL WEAPONS III",200,"UKG",652,"SYR",2018-04-07,2018-04-14,NA,NA,NA,FALSE
489,"SYRIA CHEMICAL WEAPONS III",220,"FRN",652,"SYR",2018-04-07,2018-04-14,NA,NA,NA,FALSE
490,"UAE WITHDRAWAL FROM SOMALIA",520,"SOM",696,"UAE",2018-04-15,2018-04-22,NA,NA,NA,FALSE
446,"ETHIOPIA-ERITREA II",530,"ETH",531,"ERI",2005-10-04,2006-01-11,"2000",1139,0,FALSE
454,"ETHIOPIA-ERITREA III",530,"ETH",531,"ERI",2007-09-08,2007-12-01,"2000",1139,0,FALSE
493,"VENEZUELAN ELECTION",2,"USA",101,"VEN",2019-01-23,2019-05-10,"2000",32,0.25,FALSE
